articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
6-7-2014_PS,<1,0.6644036982407953,F,NA,MATCH,TRUE
6-7-2014_PS,24.1,23.35,F,3.1120331950207465,MINOR_ERROR,NA
6-7-2014_PS,16.28,16.28,F,0,MATCH,NA
6-7-2014_PS,0.27,0.27,other,0,MATCH,NA
6-7-2014_PS,0.2,0.2,other,0,MATCH,NA
6-7-2014_PS,<0.001,7.228649516348554e-5,p,NA,MATCH,TRUE
6-7-2014_PS,0.28,0.28,other,0,MATCH,NA
6-7-2014_PS,0.001,0.001,p,0,MATCH,NA
6-7-2014_PS,0.2,0.2,other,0,MATCH,NA
6-7-2014_PS,0.053,0.053,p,0,MATCH,NA
6-7-2014_PS,0.08,0.08,other,0,MATCH,NA
6-7-2014_PS,<0.001,3.0521160288196343e-4,p,NA,MATCH,TRUE
6-7-2014_PS,0.24,0.24,other,0,MATCH,NA
